Date;2015;2016;2017;2018;2019;2020
19.03.2020;6;2;6;1;5;2
20.03.2020;5;5;3;7;6;1
21.03.2020;5;4;5;3;3;2
22.03.2020;6;4;7;2;2;3
23.03.2020;4;3;3;3;5;4
24.03.2020;8;7;3;4;1;2
25.03.2020;1;4;3;5;2;3
26.03.2020;4;3;7;3;3;2
27.03.2020;5;4;5;3;3;13
28.03.2020;7;7;5;5;3;
29.03.2020;5;2;3;4;3;5
30.03.2020;1;4;3;1;2;4
31.03.2020;;3;7;2;4;3
01.04.2020;4;1;3;4;3;4
02.04.2020;2;6;2;4;4;5
03.04.2020;3;2;5;4;2;3
04.04.2020;5;3;10;3;1;4
05.04.2020;4;2;4;4;4;3
06.04.2020;3;5;5;5;5;1
07.04.2020;4;4;5;3;6;
08.04.2020;4;6;5;3;2;2
09.04.2020;5;1;5;2;3;2
10.04.2020;1;4;2;5;8;3
11.04.2020;7;4;2;5;2;1
12.04.2020;4;6;6;6;;2
13.04.2020;3;1;5;3;3;4
14.04.2020;6;5;3;1;5;
15.04.2020;2;2;6;7;7;4
16.04.2020;5;3;2;4;4;2
17.04.2020;7;3;3;;2;1
18.04.2020;9;3;1;6;1;5
19.04.2020;3;3;3;5;2;1
20.04.2020;4;1;5;3;3;4
21.04.2020;4;6;3;;;3
22.04.2020;3;1;2;7;4;3
23.04.2020;2;4;4;3;;1
24.04.2020;2;3;3;7;5;2
25.04.2020;6;4;;1;4;1
26.04.2020;2;1;5;6;5;1
27.04.2020;1;1;3;4;2;1
28.04.2020;2;;4;2;6;4
29.04.2020;1;7;1;6;5;4
30.04.2020;4;;1;2;4;5
01.05.2020;5;8;2;4;1;1
02.05.2020;3;6;4;1;3;4
03.05.2020;1;2;5;3;4;4
04.05.2020;9;4;6;2;3;1
05.05.2020;3;2;6;6;3;
06.05.2020;3;4;6;8;1;1
07.05.2020;3;6;7;4;5;1
08.05.2020;5;5;5;2;1;1
09.05.2020;3;7;3;;4;1
10.05.2020;8;1;6;3;5;6
11.05.2020;2;4;1;5;1;2
12.05.2020;7;6;3;6;6;5
13.05.2020;2;6;3;1;;5
14.05.2020;3;2;;3;6;8
15.05.2020;5;6;;2;2;2
16.05.2020;10;3;6;5;5;
17.05.2020;3;4;4;5;6;4
18.05.2020;3;3;2;3;1;
19.05.2020;5;3;5;3;2;5
20.05.2020;4;4;4;3;2;4
21.05.2020;6;4;2;5;3;
22.05.2020;2;2;6;4;4;3
23.05.2020;4;2;4;3;2;1
24.05.2020;1;6;3;5;5;2
25.05.2020;7;2;5;2;3;1
26.05.2020;4;2;6;6;6;1
27.05.2020;2;4;4;1;3;2
28.05.2020;2;2;3;1;1;1
29.05.2020;3;3;3;4;3;
30.05.2020;2;2;3;3;4;3
31.05.2020;5;6;2;1;7;1
01.06.2020;5;2;2;1;3;4
02.06.2020;6;3;2;2;3;2
03.06.2020;1;5;6;2;7;5
04.06.2020;3;3;3;3;;2
05.06.2020;2;4;4;5;3;4
06.06.2020;6;4;5;1;2;3
07.06.2020;5;1;7;4;3;3
08.06.2020;2;3;3;7;3;4
09.06.2020;8;4;6;3;4;7
10.06.2020;7;1;5;5;6;4
11.06.2020;5;5;5;7;8;1
12.06.2020;2;3;6;;4;2
13.06.2020;4;3;9;2;5;1
14.06.2020;3;2;1;3;6;2
15.06.2020;4;3;4;9;1;2
16.06.2020;1;2;3;3;3;1
17.06.2020;2;3;4;2;5;5
18.06.2020;3;5;4;5;6;7
19.06.2020;6;4;;2;4;5
20.06.2020;3;6;4;4;6;3
21.06.2020;6;6;3;1;2;2
22.06.2020;4;1;6;4;4;6
23.06.2020;4;7;3;2;4;3
24.06.2020;4;6;4;1;;4
25.06.2020;5;2;2;4;4;4
26.06.2020;3;3;4;6;4;5
27.06.2020;6;4;3;2;7;
28.06.2020;5;4;2;1;3;
29.06.2020;4;5;2;1;4;5
30.06.2020;2;2;3;4;5;2
01.07.2020;3;8;6;2;2;4
02.07.2020;6;3;4;3;4;3
03.07.2020;5;;3;4;4;5
04.07.2020;1;5;2;7;4;2
05.07.2020;5;2;7;1;2;3
06.07.2020;2;6;3;4;8;4
07.07.2020;2;6;1;3;4;2
08.07.2020;5;8;1;4;5;9
09.07.2020;6;2;1;2;5;2
10.07.2020;4;5;1;1;10;3
11.07.2020;1;3;1;3;;4
12.07.2020;;5;5;2;2;2
13.07.2020;3;3;6;7;2;5
14.07.2020;6;1;1;5;3;6
15.07.2020;1;5;5;5;3;2
16.07.2020;9;3;4;;3;2
17.07.2020;7;3;6;2;6;5
18.07.2020;4;7;4;4;2;3
19.07.2020;2;4;6;2;2;3
20.07.2020;5;1;4;3;10;1
21.07.2020;7;4;1;2;4;1
22.07.2020;5;;4;1;3;3
23.07.2020;3;3;2;3;4;2
24.07.2020;4;3;2;5;4;7
25.07.2020;4;4;5;6;6;2
26.07.2020;1;5;5;2;3;2
27.07.2020;5;2;4;3;1;3
28.07.2020;4;2;5;;2;3
29.07.2020;5;3;6;3;2;4
30.07.2020;2;4;8;6;2;3
31.07.2020;1;4;3;4;4;3
01.08.2020;1;4;3;2;3;3
02.08.2020;8;3;4;1;5;5
03.08.2020;5;4;3;2;4;3
04.08.2020;5;2;3;6;3;1
05.08.2020;2;7;6;7;2;3
06.08.2020;1;2;4;3;9;4
07.08.2020;4;4;4;7;4;1
08.08.2020;1;3;3;2;5;2
09.08.2020;5;4;4;5;1;1
10.08.2020;2;4;2;4;4;3
11.08.2020;3;4;1;3;1;4
12.08.2020;4;2;4;;7;2
13.08.2020;5;8;6;3;;3
14.08.2020;2;7;6;4;4;2
15.08.2020;7;5;6;6;2;3
16.08.2020;5;5;3;3;4;6
17.08.2020;;5;3;3;4;2
18.08.2020;3;6;4;5;6;10
19.08.2020;3;6;7;1;3;5
20.08.2020;5;7;1;2;4;7
21.08.2020;6;2;4;4;3;3
22.08.2020;1;3;6;8;1;2
23.08.2020;2;4;8;4;4;2
24.08.2020;3;7;4;4;2;2
25.08.2020;3;6;2;4;4;3
26.08.2020;1;5;3;5;5;5
27.08.2020;3;10;1;5;4;
28.08.2020;2;3;2;2;5;3
29.08.2020;6;3;6;7;6;3
30.08.2020;7;5;3;3;2;4
31.08.2020;3;6;8;5;5;5
01.09.2020;9;6;2;1;7;4
02.09.2020;2;2;6;5;2;7
03.09.2020;6;1;4;3;2;1
04.09.2020;1;1;4;4;6;3
05.09.2020;1;2;1;4;2;3
06.09.2020;7;7;5;7;5;4
07.09.2020;4;;2;9;3;3
08.09.2020;5;6;1;4;8;5
09.09.2020;5;5;1;4;4;6
10.09.2020;2;5;5;2;2;3
11.09.2020;1;4;3;1;3;4
12.09.2020;2;5;6;3;4;5
13.09.2020;1;1;5;3;3;5
14.09.2020;6;6;5;3;2;2
15.09.2020;3;5;5;3;4;2
16.09.2020;2;5;4;5;3;
17.09.2020;5;4;5;2;4;4
18.09.2020;6;2;7;4;;4
19.09.2020;4;3;3;3;2;3
20.09.2020;3;4;1;5;2;4
21.09.2020;2;7;2;7;5;6
22.09.2020;6;4;3;5;2;4
23.09.2020;3;8;5;5;3;5
24.09.2020;2;5;2;2;4;3
25.09.2020;4;3;1;1;5;10
26.09.2020;2;1;2;6;2;3
27.09.2020;3;9;5;3;1;1
28.09.2020;2;4;5;2;2;2
29.09.2020;3;3;2;7;;2
30.09.2020;4;3;2;1;7;6
01.10.2020;1;5;5;4;5;7
02.10.2020;3;7;4;5;3;2
03.10.2020;5;2;3;2;6;7
04.10.2020;2;5;5;3;3;2
05.10.2020;3;3;8;2;3;4
06.10.2020;4;3;3;4;6;5
07.10.2020;3;3;3;4;8;3
08.10.2020;2;1;4;4;6;1
09.10.2020;2;2;2;5;1;7
10.10.2020;2;1;3;4;2;5
11.10.2020;6;5;3;8;2;
12.10.2020;5;6;4;8;5;7
13.10.2020;2;4;3;1;2;5
14.10.2020;1;2;4;1;4;4
15.10.2020;6;10;4;3;6;4
16.10.2020;4;7;2;2;4;4
17.10.2020;3;6;4;6;2;3
18.10.2020;3;5;10;6;4;5
19.10.2020;6;7;3;3;4;3
20.10.2020;2;3;5;3;3;5
21.10.2020;4;2;9;3;4;7
22.10.2020;4;3;5;4;4;2
23.10.2020;8;8;4;6;7;4
24.10.2020;5;6;4;5;4;5
25.10.2020;4;10;5;3;3;3
26.10.2020;4;7;5;3;1;2
27.10.2020;9;3;6;4;5;8
28.10.2020;4;5;4;6;4;3
29.10.2020;5;7;8;5;;2
30.10.2020;2;7;5;5;1;5
31.10.2020;6;5;3;4;4;6
01.11.2020;5;3;5;2;2;5
02.11.2020;4;7;2;3;1;7
03.11.2020;6;4;4;3;5;5
04.11.2020;4;3;2;3;6;6
05.11.2020;1;4;6;9;;6
06.11.2020;2;5;1;3;2;4
07.11.2020;6;2;3;4;5;3
08.11.2020;5;3;6;2;4;7
09.11.2020;5;4;1;2;2;3
10.11.2020;2;6;5;7;2;10
11.11.2020;5;4;6;4;3;7
12.11.2020;5;5;2;2;4;2
13.11.2020;6;1;4;9;4;3
14.11.2020;4;6;7;2;7;5
15.11.2020;2;7;4;2;6;6
16.11.2020;5;3;7;2;5;7
17.11.2020;3;3;4;3;7;4
18.11.2020;7;4;3;3;4;6
19.11.2020;10;2;4;6;3;4
20.11.2020;4;6;4;7;5;7
21.11.2020;5;4;3;3;4;6
22.11.2020;4;6;2;2;3;7
23.11.2020;8;4;2;4;5;9
24.11.2020;2;3;1;4;5;7
25.11.2020;3;2;2;2;5;3
26.11.2020;1;3;2;4;4;8
27.11.2020;7;1;5;2;3;9
28.11.2020;2;1;2;2;3;4
29.11.2020;3;6;3;4;3;7
30.11.2020;3;5;1;4;6;4
01.12.2020;2;5;5;4;2;7
02.12.2020;4;5;9;3;5;2
03.12.2020;1;2;4;3;4;11
04.12.2020;3;5;8;7;2;6
05.12.2020;6;4;4;1;2;4
06.12.2020;2;6;4;4;1;2
07.12.2020;5;7;4;6;2;12
08.12.2020;8;4;2;6;7;4
09.12.2020;4;2;3;4;3;2
10.12.2020;8;5;7;5;4;
11.12.2020;5;5;4;3;2;
12.12.2020;4;4;2;3;;
13.12.2020;2;8;2;8;3;
14.12.2020;3;4;2;2;6;
15.12.2020;8;3;2;5;3;
16.12.2020;7;3;1;4;6;
17.12.2020;3;7;3;11;3;
18.12.2020;2;5;4;5;4;
19.12.2020;3;5;9;3;4;
20.12.2020;2;6;2;1;5;
21.12.2020;3;6;3;2;5;
22.12.2020;6;3;1;7;6;
23.12.2020;3;6;8;3;1;
24.12.2020;5;5;3;5;1;
25.12.2020;1;5;1;4;7;
26.12.2020;7;4;3;1;8;
27.12.2020;7;4;1;1;4;
28.12.2020;7;1;9;4;6;
29.12.2020;5;7;5;2;3;
30.12.2020;4;5;;4;3;
31.12.2020;2;4;1;1;8;
